ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCFKN,MUNICIPAL COMMITTEE FARUKH NAGAR,"MUNICIPAL COMMITTEE, FARUKH NAGAR,  ",,SECRETARY,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCF06,MC Fatehabad,"MC Fatehabad,  ,  ",125050.0,Executive officer,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCFBD,Commissioner MC Faridabad,"Municipal Corporation Faridabad,  , 121001",121001.0,Joint Commissioner,3.0
Government of Haryana,DEPUTY COMMISSIONER SIRSA,MCELL,MUNICIPAL COMMITTEE ELLENABAD,"municipal committee ellenabad, Haryana.,  ",,secy MC Ellenabad,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCELN,MUNICIPAL COMMITTEE ELLEANBAD,"MUNICIPAL COMMITTEE, ELLENABAD,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCDHR,MUNICIPAL COMMITTEE DHARUHERA,MUNICIPAL COMMITTEE DHARUHERA,,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBWK,MUNICIPAL COMMITTEE BAWANI KHERA,"MUNICIPAL COMMITTEE, BAWANI KHERA,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCBWL,MUNICIPAL COMMITTEE BAWAL,"MUNICIPAL COMMITTEE, BAWAL,  ",,SECRETARY,3.0
Government of Haryana,DEPUTY COMMISSIONER BHIWANI,MCBWN,Market Committee Bhiwani,"Bhiwani, Bhiwani, Bhiwani",127021.0,Secretary Market Committee,3.0
Government of Haryana,DEPUTY COMMISSIONER SIRSA,MCDBL,MUNICIPAL COMMITTEE DABWALI,"MUNICIPAL COMMITTEE DABWALI,  ,  ",,SEC MC,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCCHK,MUNICIPAL COMMITTEE CHEEKA,"MUNICIPAL COMMITTEE, CHEEKA,  ",,SECRETARY,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCD06,MC Dharsul,"MC Dharsul, Tohana, Fatehabad",125120.0,Nodel Officer,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCCHD,MUNICIPAL COUNCIL CHARKHI DADRI,MUNICIPAL COUNCIL CHARKHI DADRI,127306.0,Executive Officer,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCK06,MC Bhattu,MC Bhattu Fatehabad,125053.0,Nodal Officer,3.0
Government of Haryana,Deputy Commissioner Mahendergarh,MCKAA,Secretary MC Kanina,"MC Office, Kanina, .",123027.0,Secretary MC Kanina,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKAN,MUNICIPAL COMMITTEE KANINA,"MUNICIPAL COMMITTEE, KANINA,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCJND,MUNICIPAL COUNCIL JIND,MUNICIPAL COUNCIL Town Hall Jind,,EXECUTIVE OFFICER,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCJJR,MUNICIPAL COMMITTEE JHAJJAR,"Municipal Commitee Jhajjar, JHAJJAR,  ",124103.0,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCJKM,Municipal Committee Jakhal Mandi,"Near Railway Junction , Jakhal Mandi",125133.0,Secretary,3.0
Government of Haryana,DEPUTY COMMISSIONER JIND,MCJLN,MC JULANA,"MUNICIPAL COUNCIL, JULANA",126101.0,SECY MC,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCJD6,MC agriculture Dharsul,"MC agriculture Dharsul, Fatehabad,  ",125106.0,secrtratit cum executive,3.0
Government of Haryana,DISTRICT MARKET EXECUTIVE OFFICER KARNAL,MCJDL,Market Committee Jundla,"New Grain Market Jundla,  ,  ",,ASSISTANT SECRETRY,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCHNS,MUNICIPAL COUNCIL HANSI,"MUNICIPAL COUNCIL HANSI, Near Old Post Office  Hansi,  ",125033.0,EXECUTIVE OFFICER,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCHSR,MUNICIPAL CORPORATION HISAR,"MUNICIPAL CORPORATION, HISAR,  ",125001.0,Joint Commissioner,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCHTN,MUNICIPAL COMMITTEE HATHIN,"MUNICIPAL COMMITTEE, HATHIN,  ",,SECRETARY,3.0
Government of Haryana,Deputy Commissioner Gurgaon,MCHAI,MUNICIPAL COMMITTEE HAILY MANDI,"MUNICIPAL COMMITTEE HAILY MANDI, Near Shiv Mandir Ward No 4 Hail Mandi, Gurugram Haryana",122504.0,Secy MC Haily Mandi,3.0
Government of Haryana,Sub Divisional Magistrate,MCHAN,Municipal Council Hansi,"Hansi, Hisar",125033.0,Executive officer,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCHDL,MUNICIPAL COUNCIL HODEL,"MUNICIPAL COUNCIL, HODEL,  ",121106.0,Executive Officer,3.0
Government of Haryana,Deputy Commissioner Gurgaon,MCHMA,MUNICIPAL COMMITTEE HAILY MANDI,"MUNICIPAL COMMITTEE HAILY MANDI, Near Shiv Mandir Ward No 4 Hail Mandi, Gurugram Haryana",122504.0,Secy MC Haily Mandi,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCHMD,MUNICIPAL COMMITTEE HAILY MANDI,"MUNICIPAL COMMITTEE, HAILY MANDI,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCIDR,MUNICIPAL COMMITTEE INDRI,"MUNICIPAL COMMITTEE, INDRI,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCFTB,MUNICIPAL COUNCIL FATEHABAD,"MUNICIPAL COUNCIL, FATEHABAD, Bhattu Road Main Red Light Fatehabad",125050.0,EXECUTIVE OFFICER,3.0
Government of Haryana,DEPUTY COMMISSIONER  FATEHABAD,MCJ06,MC Jakhal,"MC Jakhal, Fatehabad",125133.0,Nodal Officer,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCJUL,MUNICIPAL COMMITTEE JULANA,"MUNICIPAL COMMITTEE, JULANA,  ",126101.0,SECRETARY,3.0
Government of Haryana,DISTRICT MARKET EXECUTIVE OFFICER KARNAL,MCKNL,MARKET COMMITTEE KARNAL,"New Grain Market G.T Road Karnal,  ,  ",132001.0,SECRETARY,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKHD,MUNICIPAL COMMITTEE KHARKHODA,"MUNICIPAL COMMITTEE, KHARKHODA,  ",,SECRETARY,3.0
Government of Haryana,SDM KHARKHODA,MCKKD,Secy. MC Khakhoda,"KHARKHODA, SONIPAT, HARYANA",131402.0,Secy,4.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKLN,MUNICIPAL COMMITTEE KALANAUR,"MUNICIPAL COMMITTEE, KALANAUR,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKLT,MUNICIPAL COMMITTEE KALAYAT,"MUNICIPAL COMMITTEE, KALAYAT,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKLW,MUNICIPAL COMMITTEE KALANWALI,"MUNICIPAL COMMITTEE, KALANWALI,  ",,SECRETARY,3.0
Government of Haryana,DIRECTOR GENERAL URBAL LOCAL BODIES,MCKRL,MUNICIPAL CORPORATION KARNAL,"MUNICIPAL CORPORATION, KARNAL",132001.0,EXECUTIVE OFFICER,3.0
Government of Haryana,Deputy Commissioner Kaithal,MCKT3,MUNICIPAL COMMITTEE CHEEKA,CHEEKA,136027.0,SECY. MC CHEEKA,3.0
