Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Central Board of Direct Taxes (Income Tax),Pr.CIT 20 Kolkata,ADL58,Addl CIT R 58 Kol,Bamboovilla, , ,700014,Addl CIT R 58 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 20 Kolkata,ADL59,Addl CIT R 59 Kol,Bamboovilla, , ,700014,Addl CIT R 59 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 20 Kolkata,ADL60,Addl CIT R 60 Kol,Bamboovilla, , ,700014,Addl CIT R 60 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 21 Kolkata,ADL61,Addl CIT R 61 Kol,Bamboovilla, , ,700014,Addl CIT R 61 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 21 Kolkata,ADL62,Addl CIT R 62 Kol,Bamboovilla,NA,NA,700014,Addl CIT R 62 Kol,5
Central Board of Direct Taxes (Income Tax),Pr.CIT 21 Kolkata,ADL63,Addl CIT R 63,Bamboovilla, , ,700014,Addl CIT R 63 Kol,5
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX XXIV,ADL70,Addl CIT,civic center,delhi, ,110002,ADDL.CIT,4
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX XXIV,ADL71,ADDL.CIT71,CIVIC CENTER, , ,110002,ADDL.CIT,4
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX XXIV,ADL72,ADDL.CIT,CIVIC CENTER, , ,110002,ADDL.CIT,4
Central Board of Direct Taxes (Income Tax),Pr.CIT Asansol,ADLA1,Addl CIT R 1 Asl,Parmar Building, , ,713304,Addl CIT R 1 Asl,5
Central Board of Direct Taxes (Income Tax),Pr.CIT Asansol,ADLA2,Addl CIT R 2 Asl,Parmar Building, , ,713304,Addl CIT R 2 Asl,5
